month,energy_kwh
2016-03,391.066
2016-04,554.042
2016-05,734.349
2016-06,737.698
2016-07,769.782
2016-08,572.007
2016-09,505.471
2016-10,464.068
2016-11,289.698
2016-12,314.324
2017-03,391.066
2017-04,599.855
2017-05,666.481
2017-06,737.698
2017-07,684.673
2017-08,572.007
2017-09,505.471
2017-10,458.089
2017-11,289.698
2017-12,314.324
2018-01,241.179
2018-02,413.247
2018-03,455.719
2018-04,559.846
2018-05,587.414
2018-06,752.206
2018-07,714.447
2018-08,587.815
2018-09,545.708
2018-10,441.275
2018-11,280.019
2018-12,178.054
2019-01,141.120
2019-02,272.324
2019-03,459.402
2019-04,525.321
2019-05,658.029
2019-06,663.771
2019-07,669.621
2019-08,675.824
2019-09,537.425
2019-10,386.150
2019-11,312.537
2019-12,187.911
2020-01,265.764
2020-02,412.646
2020-03,418.978
2020-04,625.219
2020-05,699.355
2020-06,672.219
2020-07,626.766
2020-08,547.286
2020-09,426.173
2020-10,378.698
2020-11,306.574
2020-12,265.969
2021-01,260.626
2021-02,345.636
2021-03,530.934
2021-04,623.819
2021-05,687.521
2021-06,678.129
2021-07,650.498
2021-08,550.542
2021-09,473.732
2021-10,396.565
2021-11,323.724
2021-12,204.934
2022-01,291.571
2022-02,386.674
2022-03,509.582
2022-04,673.701
2022-05,601.036
2022-06,675.993
2022-07,693.036
2022-08,637.009
2022-09,511.067
2022-10,426.214
2022-11,313.103
2022-12,224.554
2023-01,245.256
2023-02,328.979
2023-03,435.906
2023-04,586.399
2023-05,688.595
2023-06,635.413
2023-07,666.068
2023-08,588.633
2023-09,494.976
2023-10,418.192
2023-11,281.904
2023-12,219.241
2024-01,219.293
2024-02,295.914
2024-03,470.118
2024-04,556.967
2024-05,725.291
2024-06,704.772
2024-07,600.042
2024-08,628.579
2024-09,495.618
2024-10,375.271
2024-11,257.656
2024-12,226.646
2025-01,300.339
2025-02,278.781
2025-03,462.097
2025-04,0
2025-05,0
2025-06,0
2025-07,0
2025-08,0
2025-09,454.060
2025-10,0
2025-11,0
2025-12,210.271
2026-01,259.798
2026-02,273.886
2026-03,131.746
