date,energy_kwh,source
2016-03,391.066,legacy
2016-04,554.042,legacy
2016-05,734.349,legacy
2016-06,737.698,legacy
2016-07,769.782,legacy
2016-08,572.007,legacy
2016-09,505.471,legacy
2016-10,464.068,legacy
2016-11,289.698,legacy
2016-12,314.324,legacy
2017-03,391.066,legacy
2017-04,599.855,legacy
2017-05,666.481,legacy
2017-06,737.698,legacy
2017-07,684.673,legacy
2017-08,572.007,legacy
2017-09,505.471,legacy
2017-10,458.089,legacy
2017-11,289.698,legacy
2017-12,314.324,legacy
2018-01,241.179,legacy
2018-02,413.247,legacy
2018-03,455.719,legacy
2018-04,559.846,legacy
2018-05,587.414,legacy
2018-06,752.206,legacy
2018-07,714.447,legacy
2018-08,587.815,legacy
2018-09,545.708,legacy
2018-10,441.275,legacy
2018-11,280.019,legacy
2018-12,178.054,legacy
2019-01,141.120,legacy
2019-02,272.324,legacy
2019-03,459.402,legacy
2019-04,525.321,legacy
2019-05,658.029,legacy
2019-06,663.771,legacy
2019-07,669.621,legacy
2019-08,675.824,legacy
2019-09,537.425,legacy
2019-10,386.150,legacy
2019-11,312.537,legacy
2019-12,187.911,legacy
2020-01,265.764,legacy
2020-02,412.646,legacy
2020-03,418.978,legacy
2020-04,625.219,legacy
2020-05,699.355,legacy
2020-06,672.219,legacy
2020-07,626.766,legacy
2020-08,547.286,legacy
2020-09,426.173,legacy
2020-10,378.698,legacy
2020-11,306.574,legacy
2020-12,265.969,legacy
2021-01,260.626,legacy
2021-02,345.636,legacy
2021-03,530.934,legacy
2021-04,623.819,legacy
2021-05,687.521,legacy
2021-06,678.129,legacy
2021-07,650.498,legacy
2021-08,550.542,legacy
2021-09,473.732,legacy
2021-10,396.565,legacy
2021-11,323.724,legacy
2021-12,204.934,legacy
2022-01,291.571,legacy
2022-02,386.674,legacy
2022-03,509.582,legacy
2022-04,673.701,legacy
2022-05,601.036,legacy
2022-06,675.993,legacy
2022-07,693.036,legacy
2022-08,637.009,legacy
2022-09,511.067,legacy
2022-10,426.214,legacy
2022-11,313.103,legacy
2022-12,224.554,legacy
2023-01,245.256,legacy
2023-02,328.979,legacy
2023-03,435.906,legacy
2023-04,586.399,legacy
2023-05,688.595,legacy
2023-06,635.413,legacy
2023-07,666.068,legacy
2023-08,588.633,legacy
2023-09,494.976,legacy
2023-10,418.192,legacy
2023-11,281.904,legacy
2023-12,219.241,legacy
2024-01,219.293,legacy
2024-02,295.914,legacy
2024-03,470.118,legacy
2024-04,556.967,legacy
2024-05,725.291,legacy
2024-06,704.772,legacy
2024-07,600.042,legacy
2024-08,628.579,legacy
2024-09,495.618,legacy
2024-10,375.271,legacy
2024-11,257.656,legacy
2024-12,226.646,legacy
2025-01,300.339,legacy
2025-02,278.781,legacy
2025-03,462.097,legacy
2025-04,556967,legacy
2025-05,725291,legacy
2025-06,661937,legacy
2025-07,600042,legacy
2025-08,632778,legacy
2025-09,454.060,legacy
2025-10,375271,legacy
2025-11,257656,legacy
2025-12,210.271,legacy
2026-01,259.798,legacy
2026-02,273.886,legacy
2026-03,131.746,legacy
2026-07-24,0,solaredge
